"","OPR_DT","OPR_HR","OPR_INTERVAL","TI_ID","TI_DIRECTION","CONSTRAINT_CAUSE","MW","MARKET_RUN_ID"
"93","2024-05-01",8,4,"NWMT_AMPS_EAST","I","Base Case",-13.70022,"RTPD"
"94","2024-05-01",9,4,"NWMT_AMPS_EAST","I","Base Case",-15.58957,"RTPD"
"95","2024-05-01",18,4,"NWMT_AMPS_EAST","I","Base Case",-18.01016,"RTPD"
"96","2024-05-01",9,2,"PACE_FOURCORNE345_ITC","I","Base Case",-0.5465,"RTPD"
"97","2024-05-01",5,1,"PACE_PATHC_ITC","I","Base Case",-0.0012,"RTPD"
"98","2024-05-01",5,2,"PACE_PATHC_ITC","I","Base Case",-0.0012,"RTPD"
"99","2024-05-01",8,2,"PALOVRDE_ITC","I","Base Case",-0.0012,"RTPD"
"100","2024-05-01",10,1,"PARKER_ITC","E","Base Case",-4e-04,"RTPD"
"101","2024-05-01",11,1,"PARKER_ITC","E","Base Case",-0.0012,"RTPD"
"102","2024-05-01",12,1,"PARKER_ITC","E","Base Case",-4e-04,"RTPD"
"103","2024-05-01",13,1,"PARKER_ITC","E","Base Case",-0.0012,"RTPD"
"104","2024-05-01",14,1,"PARKER_ITC","E","Base Case",-8e-04,"RTPD"
"105","2024-05-01",18,1,"PARKER_ITC","E","Base Case",-4e-04,"RTPD"
"106","2024-05-01",9,2,"PARKER_ITC","E","Base Case",-4e-04,"RTPD"
"107","2024-05-01",10,2,"PARKER_ITC","E","Base Case",-4e-04,"RTPD"
"108","2024-05-01",11,2,"PARKER_ITC","E","Base Case",-0.0012,"RTPD"
"109","2024-05-01",12,2,"PARKER_ITC","E","Base Case",-4e-04,"RTPD"
"110","2024-05-01",13,2,"PARKER_ITC","E","Base Case",-0.0012,"RTPD"
"111","2024-05-01",14,2,"PARKER_ITC","E","Base Case",-4e-04,"RTPD"
"112","2024-05-01",18,2,"PARKER_ITC","E","Base Case",-4e-04,"RTPD"
"113","2024-05-01",9,3,"PARKER_ITC","E","Base Case",-4e-04,"RTPD"
"114","2024-05-01",10,3,"PARKER_ITC","E","Base Case",-4e-04,"RTPD"
"115","2024-05-01",11,3,"PARKER_ITC","E","Base Case",-0.0012,"RTPD"
"116","2024-05-01",12,3,"PARKER_ITC","E","Base Case",-4e-04,"RTPD"
"117","2024-05-01",13,3,"PARKER_ITC","E","Base Case",-0.0012,"RTPD"
"118","2024-05-01",14,3,"PARKER_ITC","E","Base Case",-4e-04,"RTPD"
"119","2024-05-01",17,3,"PARKER_ITC","E","Base Case",-4e-04,"RTPD"
"120","2024-05-01",18,3,"PARKER_ITC","E","Base Case",-4e-04,"RTPD"
"121","2024-05-01",9,4,"PARKER_ITC","E","Base Case",-4e-04,"RTPD"
"122","2024-05-01",10,4,"PARKER_ITC","E","Base Case",-4e-04,"RTPD"
"123","2024-05-01",11,4,"PARKER_ITC","E","Base Case",-0.0012,"RTPD"
"124","2024-05-01",12,4,"PARKER_ITC","E","Base Case",-0.0012,"RTPD"
"125","2024-05-01",13,4,"PARKER_ITC","E","Base Case",-0.0012,"RTPD"
"126","2024-05-01",14,4,"PARKER_ITC","E","Base Case",-4e-04,"RTPD"
"127","2024-05-01",17,4,"PARKER_ITC","E","Base Case",-4e-04,"RTPD"
"128","2024-05-01",7,1,"SRP_SYSTEM_ITC","E","Base Case",-3.79929,"RTPD"
"129","2024-05-01",8,1,"SRP_SYSTEM_ITC","E","Base Case",-4.02236,"RTPD"
"130","2024-05-01",16,1,"SRP_SYSTEM_ITC","I","Base Case",-25.53357,"RTPD"
"131","2024-05-01",17,1,"SRP_SYSTEM_ITC","I","Base Case",-25.56153,"RTPD"
"132","2024-05-01",7,2,"SRP_SYSTEM_ITC","E","Base Case",-22.82837,"RTPD"
"133","2024-05-01",15,2,"SRP_SYSTEM_ITC","I","Base Case",-24.59907,"RTPD"
"134","2024-05-01",16,2,"SRP_SYSTEM_ITC","I","Base Case",-25.36195,"RTPD"
"135","2024-05-01",18,2,"SRP_SYSTEM_ITC","I","Base Case",-13.24612,"RTPD"
"136","2024-05-01",16,3,"SRP_SYSTEM_ITC","I","Base Case",-44.26137,"RTPD"
"137","2024-05-01",15,4,"SRP_SYSTEM_ITC","I","Base Case",-25.86068,"RTPD"
"138","2024-05-01",16,4,"SRP_SYSTEM_ITC","I","Base Case",-21.76346,"RTPD"
"139","2024-05-01",14,1,"TEPC_BA_IMP_ITC","I","Base Case",-12.86247,"RTPD"
"140","2024-05-01",16,1,"TEPC_BA_IMP_ITC","I","Base Case",-22.5224,"RTPD"
"141","2024-05-01",17,1,"TEPC_BA_IMP_ITC","I","Base Case",-23.55009,"RTPD"
"142","2024-05-01",18,1,"TEPC_BA_IMP_ITC","I","Base Case",-19.23628,"RTPD"
"143","2024-05-01",19,1,"TEPC_BA_IMP_ITC","I","Base Case",-0.09024,"RTPD"
"144","2024-05-01",16,2,"TEPC_BA_IMP_ITC","I","Base Case",-23.14698,"RTPD"
"145","2024-05-01",17,2,"TEPC_BA_IMP_ITC","I","Base Case",-1009.26154,"RTPD"
"146","2024-05-01",18,2,"TEPC_BA_IMP_ITC","I","Base Case",-11.43923,"RTPD"
"147","2024-05-01",14,3,"TEPC_BA_IMP_ITC","I","Base Case",-8e-04,"RTPD"
"148","2024-05-01",16,3,"TEPC_BA_IMP_ITC","I","Base Case",-19.34261,"RTPD"
"149","2024-05-01",17,3,"TEPC_BA_IMP_ITC","I","Base Case",-150.4468,"RTPD"
"150","2024-05-01",18,3,"TEPC_BA_IMP_ITC","I","Base Case",-2.51814,"RTPD"
"151","2024-05-01",14,4,"TEPC_BA_IMP_ITC","I","Base Case",-16.43159,"RTPD"
"152","2024-05-01",15,4,"TEPC_BA_IMP_ITC","I","Base Case",-17.35203,"RTPD"
"153","2024-05-01",16,4,"TEPC_BA_IMP_ITC","I","Base Case",-19.48707,"RTPD"
"154","2024-05-01",17,4,"TEPC_BA_IMP_ITC","I","Base Case",-17.4764,"RTPD"
"155","2024-05-01",19,1,"TOTAL_WYOMING_EXPORT","E","Base Case",32.5309,"RTPD"
"156","2024-05-01",20,1,"TOTAL_WYOMING_EXPORT","E","Base Case",29.29002,"RTPD"
"157","2024-05-01",21,1,"TOTAL_WYOMING_EXPORT","E","Base Case",35.63499,"RTPD"
"158","2024-05-01",22,1,"TOTAL_WYOMING_EXPORT","E","Base Case",66.54757,"RTPD"
"159","2024-05-01",23,1,"TOTAL_WYOMING_EXPORT","E","Base Case",33.79077,"RTPD"
"160","2024-05-01",24,1,"TOTAL_WYOMING_EXPORT","E","Base Case",3.52935,"RTPD"
"161","2024-05-01",19,2,"TOTAL_WYOMING_EXPORT","E","Base Case",11.42512,"RTPD"
"162","2024-05-01",20,2,"TOTAL_WYOMING_EXPORT","E","Base Case",2.26416,"RTPD"
"163","2024-05-01",21,2,"TOTAL_WYOMING_EXPORT","E","Base Case",20.14939,"RTPD"
"164","2024-05-01",22,2,"TOTAL_WYOMING_EXPORT","E","Base Case",64.51039,"RTPD"
"165","2024-05-01",23,2,"TOTAL_WYOMING_EXPORT","E","Base Case",33.14746,"RTPD"
"166","2024-05-01",24,2,"TOTAL_WYOMING_EXPORT","E","Base Case",2.35135,"RTPD"
"167","2024-05-01",19,3,"TOTAL_WYOMING_EXPORT","E","Base Case",29.1805,"RTPD"
"168","2024-05-01",20,3,"TOTAL_WYOMING_EXPORT","E","Base Case",18.85052,"RTPD"
"169","2024-05-01",21,3,"TOTAL_WYOMING_EXPORT","E","Base Case",19.76461,"RTPD"
"170","2024-05-01",22,3,"TOTAL_WYOMING_EXPORT","E","Base Case",31.6104,"RTPD"
"171","2024-05-01",23,3,"TOTAL_WYOMING_EXPORT","E","Base Case",31.67591,"RTPD"
"172","2024-05-01",24,3,"TOTAL_WYOMING_EXPORT","E","Base Case",5.51113,"RTPD"
"173","2024-05-01",19,4,"TOTAL_WYOMING_EXPORT","E","Base Case",43.32661,"RTPD"
"174","2024-05-01",20,4,"TOTAL_WYOMING_EXPORT","E","Base Case",34.49999,"RTPD"
"175","2024-05-01",21,4,"TOTAL_WYOMING_EXPORT","E","Base Case",28.79127,"RTPD"
"176","2024-05-01",22,4,"TOTAL_WYOMING_EXPORT","E","Base Case",17.43093,"RTPD"
"177","2024-05-01",23,4,"TOTAL_WYOMING_EXPORT","E","Base Case",29.33333,"RTPD"
"178","2024-05-01",15,1,"WALC_NET_DYN_ETSR_IMPORT_ITC","I","Base Case",-4e-04,"RTPD"
"179","2024-05-01",16,1,"WALC_NET_DYN_ETSR_IMPORT_ITC","I","Base Case",-4e-04,"RTPD"
"180","2024-05-01",17,1,"WALC_NET_DYN_ETSR_IMPORT_ITC","I","Base Case",-4e-04,"RTPD"
"181","2024-05-01",15,2,"WALC_NET_DYN_ETSR_IMPORT_ITC","I","Base Case",-4e-04,"RTPD"
"182","2024-05-01",16,2,"WALC_NET_DYN_ETSR_IMPORT_ITC","I","Base Case",-4e-04,"RTPD"
"183","2024-05-01",17,2,"WALC_NET_DYN_ETSR_IMPORT_ITC","I","Base Case",-4e-04,"RTPD"
"184","2024-05-01",15,3,"WALC_NET_DYN_ETSR_IMPORT_ITC","I","Base Case",-4e-04,"RTPD"
"185","2024-05-01",16,3,"WALC_NET_DYN_ETSR_IMPORT_ITC","I","Base Case",-4e-04,"RTPD"
"186","2024-05-01",15,4,"WALC_NET_DYN_ETSR_IMPORT_ITC","I","Base Case",-4e-04,"RTPD"
"187","2024-05-01",16,4,"WALC_NET_DYN_ETSR_IMPORT_ITC","I","Base Case",-4e-04,"RTPD"
"188","2024-05-01",11,3,"WINDSTAR EXPORT TCOR","E","Base Case",23.38897,"RTPD"
"189","2024-05-01",17,4,"WINDSTAR EXPORT TCOR","E","Base Case",5.97716,"RTPD"
"190","2024-05-02",8,1,"AEOLUS_EXP","E","Base Case",85.14637,"RTPD"
"191","2024-05-02",9,1,"AEOLUS_EXP","E","Base Case",75.03171,"RTPD"
"192","2024-05-02",10,1,"AEOLUS_EXP","E","Base Case",86.05987,"RTPD"
"193","2024-05-02",11,1,"AEOLUS_EXP","E","Base Case",68.33399,"RTPD"
"194","2024-05-02",8,2,"AEOLUS_EXP","E","Base Case",64.5935,"RTPD"
"195","2024-05-02",9,2,"AEOLUS_EXP","E","Base Case",69.01759,"RTPD"
